iter	Logloss
0	0.6931161079
1	0.6919580241
2	0.6913553819
3	0.6908667589
4	0.6903585015
5	0.6898294325
6	0.689204145
7	0.6886004232
8	0.6879873969
9	0.6874721137
10	0.6868547255
11	0.6863617676
12	0.6858890408
13	0.6853851291
14	0.6849438097
15	0.6844196886
16	0.6838470486
17	0.6832972168
18	0.6827089193
19	0.6819482639
20	0.6814993761
21	0.6810501031
22	0.6805997125
23	0.6801359863
24	0.6796944336
25	0.679119732
26	0.6786739529
27	0.6781378309
28	0.677682525
29	0.6771887424
30	0.67660574
31	0.6758957574
32	0.6751911458
33	0.6746931966
34	0.6741683919
35	0.6736056858
36	0.6731851183
37	0.67263023
38	0.67225185
39	0.6715797092
40	0.6710835938
41	0.6705315972
42	0.6700519857
43	0.6695193197
44	0.668978814
45	0.6685071994
46	0.668103928
47	0.6676492676
48	0.6670756673
49	0.6666942654
50	0.6663083496
51	0.6658858181
52	0.6652104492
53	0.6646800727
54	0.6641090332
55	0.663722054
56	0.6633423231
57	0.6629226128
58	0.6624819878
59	0.6619982313
60	0.6614364638
61	0.6610647841
62	0.6606268175
63	0.6602573676
64	0.6597886285
65	0.6593229167
66	0.658892334
67	0.6585051921
68	0.658055816
69	0.6574023383
70	0.6569863661
71	0.6566111274
72	0.6560955132
73	0.6556006727
74	0.6550947537
75	0.6547798611
76	0.6544214789
77	0.654007959
78	0.6537154785
79	0.6532961751
80	0.6528814019
81	0.6524482259
82	0.6519379395
83	0.6514377279
84	0.6508054796
85	0.6503466037
86	0.6500241374
87	0.6496062554
88	0.6492840875
89	0.6488643229
90	0.6485323947
91	0.6482036567
92	0.6475886936
93	0.6472622233
94	0.6469299588
95	0.6465736274
96	0.6459059028
97	0.6455936578
98	0.6449782498
99	0.6445549805
100	0.6440061795
101	0.6436069444
102	0.6430473416
103	0.6424388238
104	0.6420780816
105	0.6416466471
106	0.6412017632
107	0.6405741591
108	0.6403021864
109	0.6396755859
110	0.6393263401
111	0.6389539225
112	0.6385741699
113	0.6382746799
114	0.6379918783
115	0.6375706326
116	0.6371916884
117	0.6366431749
